Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
minimum temperature - ssp1 - 2061-2080 - annual,0.14,12.46,13.58,-4.25,4.26,4.06,12.97,2.32,17.11,7.77,15.48,16.21,16.73,5.42,8.34,-0.24,7.68,15.28,4.34,15.05
minimum temperature - ssp1 - 2081-2100 - annual,0.18,12.43,13.56,-4.2,4.26,4.08,12.96,2.33,17.08,7.82,15.43,16.17,16.72,5.43,8.31,-0.22,7.72,15.26,4.38,15.04
minimum temperature - ssp2 - 2021-2040 - annual,-0.27,11.91,13.06,-4.63,3.79,3.61,12.49,1.89,16.57,7.41,14.93,15.65,16.21,4.95,7.83,-0.65,7.27,14.77,3.94,14.54
minimum temperature - ssp2 - 2041-2060 - annual,0.55,12.66,13.8,-3.78,4.56,4.44,13.24,2.67,17.3,8.22,15.64,16.4,16.95,5.75,8.57,0.15,8.05,15.52,4.74,15.28
minimum temperature - ssp2 - 2061-2080 - annual,0.9,13.12,14.25,-3.46,4.92,4.84,13.67,2.99,17.79,8.5,16.15,16.86,17.4,6.19,9.04,0.46,8.39,15.95,5.07,15.73
minimum temperature - ssp2 - 2081-2100 - annual,1.59,13.66,14.8,-2.69,5.56,5.51,14.24,3.68,18.29,9.23,16.64,17.41,17.94,6.82,9.58,1.17,9.05,16.5,5.75,16.27
minimum temperature - ssp3 - 2021-2040 - annual,-0.21,11.95,13.09,-4.57,3.84,3.69,12.54,1.94,16.61,7.46,14.97,15.69,16.25,5.03,7.88,-0.6,7.33,14.81,4,14.59
minimum temperature - ssp3 - 2041-2060 - annual,0.82,12.88,14.02,-3.46,4.81,4.72,13.47,2.95,17.51,8.5,15.86,16.63,17.16,6.03,8.81,0.43,8.3,15.73,5,15.5
minimum temperature - ssp3 - 2061-2080 - annual,1.73,13.83,14.95,-2.54,5.71,5.68,14.42,3.83,18.49,9.36,16.87,17.58,18.09,7.01,9.79,1.31,9.17,16.66,5.88,16.44
minimum temperature - ssp3 - 2081-2100 - annual,3.25,15.09,16.22,-0.84,7.13,7.17,15.7,5.33,19.66,10.94,18.01,18.87,19.34,8.41,11.01,2.86,10.61,17.93,7.38,17.69
minimum temperature - ssp5 - 2021-2040 - annual,-0.26,11.96,13.1,-4.68,3.81,3.65,12.56,1.89,16.65,7.4,15.02,15.69,16.25,5.02,7.92,-0.66,7.29,14.81,3.95,14.6
minimum temperature - ssp5 - 2041-2060 - annual,0.86,13.08,14.21,-3.51,4.94,4.79,13.66,3.03,17.74,8.52,16.12,16.83,17.35,6.16,9.03,0.48,8.38,15.91,5.06,15.69
minimum temperature - ssp5 - 2061-2080 - annual,2.33,14.46,15.58,-1.98,6.33,6.28,15.05,4.43,19.11,9.96,17.5,18.22,18.72,7.63,10.43,1.91,9.79,17.28,6.49,17.06
minimum temperature - ssp5 - 2081-2100 - annual,4.09,16.1,17.22,-0.09,8,8.06,16.7,6.14,20.74,11.72,19.13,19.86,20.36,9.37,12.09,3.66,11.48,18.92,8.21,18.7
minimum temperature - historical - jun - sep,5.46,15.77,16.92,1.56,8.95,8.68,16.41,7.38,20.17,11.75,18.5,18.93,19.69,9.77,12.18,5.2,11.78,18.42,8.99,18.28
minimum temperature - ssp1 - 2021-2040 - jun - sep,6.93,17.08,18.22,3.19,10.38,10.13,17.72,8.87,21.41,13.29,19.73,20.27,20.96,11.16,13.47,6.71,13.19,19.72,10.46,19.55
minimum temperature - ssp1 - 2041-2060 - jun - sep,7.35,17.47,18.61,3.62,10.79,10.54,18.12,9.28,21.79,13.71,20.12,20.66,21.35,11.56,13.86,7.13,13.6,20.11,10.88,19.95
minimum temperature - ssp1 - 2061-2080 - jun - sep,7.31,17.53,18.65,3.52,10.79,10.54,18.17,9.24,21.87,13.61,20.21,20.73,21.4,11.59,13.94,7.07,13.58,20.15,10.82,20
minimum temperature - ssp1 - 2081-2100 - jun - sep,7.39,17.54,18.68,3.64,10.83,10.59,18.19,9.3,21.88,13.73,20.21,20.73,21.42,11.62,13.94,7.15,13.65,20.18,10.92,20.02
minimum temperature - ssp2 - 2021-2040 - jun - sep,6.96,17.09,18.23,3.21,10.39,10.15,17.75,8.89,21.43,13.32,19.76,20.27,20.97,11.19,13.5,6.74,13.22,19.74,10.49,19.58
minimum temperature - ssp2 - 2041-2060 - jun - sep,7.59,17.71,18.85,3.88,11.02,10.78,18.36,9.52,22.02,13.96,20.34,20.9,21.58,11.8,14.09,7.37,13.85,20.35,11.13,20.18
minimum temperature - ssp2 - 2061-2080 - jun - sep,7.99,18.12,19.26,4.25,11.41,11.2,18.78,9.89,22.46,14.33,20.79,21.3,22,12.23,14.54,7.75,14.24,20.76,11.51,20.6
minimum temperature - ssp2 - 2081-2100 - jun - sep,8.59,18.65,19.78,4.94,12.03,11.77,19.29,10.54,22.93,14.98,21.25,21.87,22.5,12.77,15.02,8.4,14.81,21.28,12.12,21.1
minimum temperature - ssp3 - 2021-2040 - jun - sep,6.97,17.1,18.24,3.23,10.42,10.17,17.77,8.91,21.44,13.33,19.78,20.29,20.99,11.21,13.52,6.76,13.23,19.75,10.51,19.59
minimum temperature - ssp3 - 2041-2060 - jun - sep,7.86,17.95,19.09,4.17,11.3,11.04,18.6,9.81,22.25,14.25,20.57,21.15,21.81,12.05,14.33,7.66,14.1,20.58,11.4,20.41
minimum temperature - ssp3 - 2061-2080 - jun - sep,8.67,18.7,19.84,4.95,12.06,11.88,19.41,10.57,23.03,15.01,21.37,21.9,22.57,12.9,15.16,8.43,14.89,21.35,12.18,21.19
minimum temperature - ssp3 - 2081-2100 - jun - sep,9.97,19.87,20.99,6.44,13.39,13.16,20.55,11.95,24.1,16.4,22.42,23.12,23.69,14.12,16.26,9.82,16.13,22.49,13.49,22.31
minimum temperature - ssp5 - 2021-2040 - jun - sep,6.83,17,18.14,3.03,10.29,10.05,17.69,8.77,21.38,13.16,19.73,20.18,20.89,11.11,13.46,6.6,13.1,19.64,10.35,19.5
minimum temperature - ssp5 - 2041-2060 - jun - sep,7.92,18.01,19.15,4.16,11.33,11.14,18.71,9.82,22.37,14.25,20.72,21.2,21.89,12.17,14.48,7.67,14.16,20.65,11.43,20.51
minimum temperature - ssp5 - 2061-2080 - jun - sep,9.24,19.24,20.37,5.56,12.65,12.45,19.95,11.16,23.56,15.6,21.9,22.47,23.09,13.46,15.7,9.03,15.44,21.87,12.74,21.72
minimum temperature - ssp5 - 2081-2100 - jun - sep,10.7,20.62,21.74,7.11,14.1,13.91,21.33,12.64,24.9,17.08,23.24,23.86,24.45,14.89,17.07,10.52,16.86,23.24,14.19,23.08
minimum temperature - historical - mar - may,-2.22,10.39,11.69,-6.97,1.77,1.66,11.16,-0.15,15.36,5.24,13.65,14.39,15.05,2.94,6.18,-2.72,5.63,13.53,2.06,13.3
minimum temperature - ssp1 - 2021-2040 - mar - may,-0.79,11.69,12.98,-5.32,3.17,3.1,12.44,1.31,16.63,6.72,14.92,15.72,16.32,4.32,7.45,-1.23,6.96,14.81,3.46,14.57
minimum temperature - ssp1 - 2041-2060 - mar - may,-0.35,12.15,13.44,-4.86,3.64,3.55,12.88,1.79,17.07,7.17,15.36,16.18,16.77,4.77,7.88,-0.76,7.4,15.27,3.9,15.01
minimum temperature - ssp1 - 2061-2080 - mar - may,-0.41,12.24,13.51,-5.02,3.64,3.52,12.95,1.71,17.2,7.01,15.5,16.27,16.86,4.78,7.98,-0.86,7.36,15.34,3.81,15.1
minimum temperature - ssp1 - 2081-2100 - mar - may,-0.3,12.23,13.51,-4.84,3.66,3.61,12.95,1.78,17.16,7.16,15.45,16.25,16.86,4.84,7.96,-0.77,7.44,15.34,3.93,15.09
minimum temperature - ssp2 - 2021-2040 - mar - may,-0.72,11.73,13.02,-5.22,3.25,3.16,12.5,1.41,16.66,6.81,14.94,15.75,16.36,4.38,7.5,-1.13,7.03,14.86,3.54,14.61
minimum temperature - ssp2 - 2041-2060 - mar - may,0.1,12.51,13.8,-4.41,4.03,4,13.27,2.19,17.43,7.6,15.71,16.53,17.14,5.2,8.26,-0.35,7.82,15.64,4.33,15.39
minimum temperature - ssp2 - 2061-2080 - mar - may,0.42,12.98,14.26,-4.19,4.37,4.38,13.73,2.45,17.94,7.79,16.23,17.01,17.61,5.64,8.77,-0.11,8.15,16.09,4.6,15.85
minimum temperature - ssp2 - 2081-2100 - mar - may,1.13,13.51,14.8,-3.36,4.98,5.07,14.27,3.13,18.44,8.55,16.72,17.53,18.15,6.26,9.27,0.6,8.8,16.63,5.3,16.39
minimum temperature - ssp3 - 2021-2040 - mar - may,-0.7,11.73,13.03,-5.23,3.25,3.19,12.52,1.41,16.68,6.82,14.97,15.75,16.37,4.41,7.53,-1.13,7.05,14.87,3.55,14.63
minimum temperature - ssp3 - 2041-2060 - mar - may,0.41,12.71,14.01,-4.03,4.28,4.31,13.51,2.48,17.63,7.92,15.91,16.73,17.34,5.5,8.51,-0.03,8.09,15.85,4.62,15.6
minimum temperature - ssp3 - 2061-2080 - mar - may,1.31,13.7,14.97,-3.22,5.2,5.29,14.53,3.35,18.67,8.72,16.97,17.73,18.31,6.54,9.58,0.81,8.98,16.81,5.47,16.59
minimum temperature - ssp3 - 2081-2100 - mar - may,2.78,14.94,16.23,-1.5,6.56,6.72,15.72,4.79,19.8,10.28,18.06,18.98,19.54,7.84,10.69,2.31,10.36,18.07,6.95,17.79
minimum temperature - ssp5 - 2021-2040 - mar - may,-0.76,11.71,13,-5.35,3.22,3.14,12.53,1.36,16.68,6.73,14.98,15.73,16.34,4.4,7.56,-1.2,7.01,14.84,3.48,14.62
minimum temperature - ssp5 - 2041-2060 - mar - may,0.32,12.88,14.15,-4.28,4.35,4.26,13.65,2.45,17.82,7.76,16.12,16.91,17.49,5.53,8.7,-0.12,8.07,15.98,4.53,15.74
minimum temperature - ssp5 - 2061-2080 - mar - may,1.79,14.25,15.52,-2.8,5.69,5.76,15.06,3.79,19.2,9.15,17.5,18.29,18.85,7.02,10.1,1.25,9.47,17.35,5.94,17.12
minimum temperature - ssp5 - 2081-2100 - mar - may,3.6,15.95,17.21,-0.87,7.42,7.6,16.74,5.56,20.85,10.97,19.13,20,20.54,8.81,11.76,3.05,11.22,19.04,7.73,18.8
minimum temperature - historical - oct - nov,-3.44,9.91,10.96,-8.13,1.03,0.7,10.03,-1.17,14.39,4.9,12.88,13.75,14.13,2.27,5.41,-3.91,4.7,12.65,1.18,12.26
minimum temperature - ssp1 - 2021-2040 - oct - nov,-1.67,11.4,12.45,-6.16,2.65,2.5,11.54,0.55,15.8,6.71,14.29,15.25,15.59,4,6.9,-2.13,6.32,14.14,2.89,13.72
minimum temperature - ssp1 - 2041-2060 - oct - nov,-1.03,12.01,13.05,-5.47,3.24,3.15,12.15,1.15,16.41,7.33,14.9,15.85,16.19,4.64,7.51,-1.51,6.93,14.74,3.51,14.33
minimum temperature - ssp1 - 2061-2080 - oct - nov,-1.24,12.02,13.05,-5.69,3.14,2.95,12.02,1,16.36,7.13,14.87,15.85,16.16,4.46,7.41,-1.68,6.76,14.71,3.34,14.25
minimum temperature - ssp1 - 2081-2100 - oct - nov,-1.1,12.01,13.04,-5.53,3.23,3.09,12.1,1.12,16.37,7.27,14.87,15.86,16.17,4.59,7.48,-1.56,6.87,14.72,3.45,14.29
minimum temperature - ssp2 - 2021-2040 - oct - nov,-1.76,11.33,12.38,-6.3,2.55,2.42,11.49,0.43,15.77,6.59,14.26,15.19,15.53,3.94,6.86,-2.26,6.24,14.07,2.79,13.67
minimum temperature - ssp2 - 2041-2060 - oct - nov,-0.68,12.3,13.35,-5.05,3.57,3.49,12.42,1.5,16.66,7.71,15.14,16.16,16.47,4.95,7.76,-1.15,7.26,15.03,3.86,14.6
minimum temperature - ssp2 - 2061-2080 - oct - nov,-0.54,12.64,13.68,-4.99,3.74,3.67,12.69,1.61,17.03,7.79,15.53,16.46,16.82,5.17,8.06,-1.05,7.42,15.36,4,14.92
minimum temperature - ssp2 - 2081-2100 - oct - nov,0.41,13.34,14.39,-3.9,4.61,4.6,13.48,2.55,17.72,8.77,16.2,17.2,17.52,6.05,8.82,-0.08,8.31,16.08,4.92,15.65
minimum temperature - ssp3 - 2021-2040 - oct - nov,-1.46,11.56,12.62,-5.93,2.81,2.71,11.72,0.71,15.97,6.9,14.46,15.4,15.76,4.2,7.08,-1.96,6.52,14.31,3.09,13.9
minimum temperature - ssp3 - 2041-2060 - oct - nov,-0.43,12.57,13.61,-4.76,3.85,3.73,12.66,1.79,16.91,7.98,15.39,16.43,16.73,5.19,8.01,-0.86,7.51,15.29,4.13,14.85
minimum temperature - ssp3 - 2061-2080 - oct - nov,0.39,13.55,14.58,-3.97,4.69,4.59,13.54,2.58,17.87,8.76,16.37,17.4,17.68,6.06,8.91,-0.08,8.33,16.24,4.94,15.77
minimum temperature - ssp3 - 2081-2100 - oct - nov,2.27,15.05,16.09,-1.83,6.42,6.44,15.14,4.44,19.33,10.71,17.79,18.93,19.18,7.81,10.45,1.84,10.08,17.76,6.78,17.3
minimum temperature - ssp5 - 2021-2040 - oct - nov,-1.7,11.47,12.52,-6.24,2.64,2.47,11.57,0.51,15.86,6.68,14.35,15.3,15.64,3.99,6.93,-2.17,6.33,14.21,2.89,13.76
minimum temperature - ssp5 - 2041-2060 - oct - nov,-0.36,12.86,13.9,-4.78,4.04,3.81,12.86,1.93,17.15,8.09,15.66,16.7,16.98,5.31,8.23,-0.74,7.65,15.56,4.27,15.07
minimum temperature - ssp5 - 2061-2080 - oct - nov,1.26,14.43,15.47,-3.1,5.59,5.44,14.43,3.49,18.72,9.68,17.23,18.27,18.55,6.91,9.79,0.84,9.23,17.14,5.85,16.64
minimum temperature - ssp5 - 2081-2100 - oct - nov,3.33,16.32,17.36,-0.92,7.57,7.52,16.39,5.51,20.63,11.73,19.14,20.19,20.45,8.96,11.76,2.89,11.23,19.03,7.87,18.56
minimum temperature - historical - dec - feb,-10.12,4.24,5.29,-15.22,-5.13,-5.59,4.69,-7.57,9.18,-0.95,7.51,8.34,8.83,-3.81,-0.24,-10.56,-1.21,7.18,-5.17,6.99
minimum temperature - ssp1 - 2021-2040 - dec - feb,-8.48,5.59,6.63,-13.45,-3.65,-3.86,6.13,-6.01,10.54,0.66,8.9,9.72,10.16,-2.1,1.24,-8.96,0.26,8.52,-3.63,8.35
minimum temperature - ssp1 - 2041-2060 - dec - feb,-8.12,6.02,7.05,-13.08,-3.25,-3.47,6.54,-5.63,10.97,1.01,9.35,10.15,10.58,-1.68,1.68,-8.59,0.63,8.93,-3.27,8.76
minimum temperature - ssp1 - 2061-2080 - dec - feb,-7.96,6.24,7.25,-12.86,-3.07,-3.31,6.69,-5.44,11.16,1.18,9.55,10.36,10.76,-1.54,1.84,-8.39,0.76,9.1,-3.11,8.93
minimum temperature - ssp1 - 2081-2100 - dec - feb,-8.11,6.1,7.12,-13.12,-3.21,-3.45,6.58,-5.62,11.06,0.97,9.43,10.22,10.66,-1.67,1.72,-8.6,0.64,8.99,-3.28,8.83
minimum temperature - ssp2 - 2021-2040 - dec - feb,-8.57,5.53,6.56,-13.46,-3.71,-3.94,6.05,-6.07,10.44,0.62,8.82,9.63,10.07,-2.17,1.19,-9.02,0.2,8.43,-3.69,8.25
minimum temperature - ssp2 - 2041-2060 - dec - feb,-7.58,6.33,7.38,-12.5,-2.86,-2.96,6.93,-5.19,11.29,1.53,9.65,10.46,10.91,-1.22,2.04,-8.11,1.09,9.27,-2.78,9.11
minimum temperature - ssp2 - 2061-2080 - dec - feb,-7.12,6.93,7.95,-11.98,-2.4,-2.39,7.45,-4.74,11.92,1.94,10.31,11.04,11.47,-0.63,2.62,-7.66,1.49,9.8,-2.36,9.66
minimum temperature - ssp2 - 2081-2100 - dec - feb,-8.57,5.53,6.56,-13.46,-3.71,-3.94,6.05,-6.07,10.44,0.62,8.82,9.63,10.07,-2.17,1.19,-9.02,0.2,8.43,-3.69,8.25
minimum temperature - ssp3 - 2021-2040 - dec - feb,-8.45,5.57,6.61,-13.42,-3.66,-3.82,6.15,-6.01,10.53,0.66,8.9,9.69,10.15,-2.05,1.27,-8.96,0.27,8.5,-3.62,8.34
minimum temperature - ssp3 - 2041-2060 - dec - feb,-7.33,6.49,7.54,-12.21,-2.66,-2.66,7.15,-4.97,11.47,1.76,9.85,10.63,11.07,-0.91,2.29,-7.88,1.3,9.43,-2.56,9.28
minimum temperature - ssp3 - 2061-2080 - dec - feb,-6.21,7.66,8.67,-10.91,-1.55,-1.46,8.24,-3.84,12.66,2.88,11.08,11.81,12.18,0.27,3.43,-6.73,2.31,10.53,-1.48,10.39
minimum temperature - ssp3 - 2081-2100 - dec - feb,-4.59,8.9,9.94,-9.23,-0.16,0.11,9.58,-2.35,13.83,4.49,12.22,13.04,13.44,1.77,4.71,-5.19,3.84,11.83,0.08,11.67
minimum temperature - ssp5 - 2021-2040 - dec - feb,-8.26,5.83,6.86,-13.26,-3.46,-3.59,6.41,-5.82,10.83,0.85,9.23,9.94,10.38,-1.8,1.56,-8.76,0.46,8.73,-3.43,8.59
minimum temperature - ssp5 - 2041-2060 - dec - feb,-7.19,6.88,7.89,-12.13,-2.39,-2.48,7.45,-4.73,11.87,1.92,10.28,11,11.41,-0.67,2.65,-7.67,1.48,9.75,-2.38,9.61
minimum temperature - ssp5 - 2061-2080 - dec - feb,-5.63,8.34,9.35,-10.45,-0.97,-0.87,8.92,-3.28,13.35,3.43,11.8,12.45,12.86,0.93,4.17,-6.18,2.93,11.2,-0.9,11.07
minimum temperature - ssp5 - 2081-2100 - dec - feb,-3.72,10.07,11.11,-8.34,0.74,1.08,10.71,-1.51,15.18,5.31,13.67,14.18,14.66,2.83,5.99,-4.33,4.73,12.98,0.95,12.86
solar radiation - historical - annual,191.3,190.02,190.58,192.12,189.66,189.1,190.93,191.63,194.52,189.55,190.78,189.92,191.01,189.46,189.91,192.31,189.23,192.43,190.77,192.11
solar radiation - ssp1 - 2021-2040 - annual,188.58,186.56,187.22,189,186.55,186.53,188.45,188.65,191.83,186.57,188.33,186.4,187.86,187.14,187.68,189.32,186.43,189.2,187.81,189.28
solar radiation - ssp1 - 2041-2060 - annual,189.86,188.83,189.43,190.07,188.39,187.76,190.16,190.2,193.91,187.88,190.36,188.7,190.02,188.43,189.36,190.76,188.01,191.33,189.28,191.27
solar radiation - ssp1 - 2061-2080 - annual,191.58,191.32,191.91,191.53,190.46,189.4,192.25,192.12,196.27,189.66,192.7,191.11,192.48,190.14,191.44,192.58,190.01,193.77,191.18,193.59
solar radiation - ssp1 - 2081-2100 - annual,192.2,192.27,192.81,192.13,191.29,190.04,193,192.83,197.11,190.27,193.49,192.11,193.34,190.8,192.15,193.26,190.67,194.61,191.83,194.39
solar radiation - ssp2 - 2021-2040 - annual,185.95,182.35,183.14,186.7,183.03,184.02,185.07,185.57,187.84,183.85,184.3,182.13,183.81,184.47,184.26,186.44,183.35,185.25,184.89,185.5
solar radiation - ssp2 - 2041-2060 - annual,187.08,184.29,185.04,187.58,184.61,185.08,186.59,186.94,189.58,185.02,186.03,184.05,185.66,185.61,185.76,187.71,184.75,187.09,186.19,187.19
solar radiation - ssp2 - 2061-2080 - annual,188.2,186.54,187.21,188.25,186.36,186.14,188.34,188.35,191.79,186.12,188.26,186.33,187.85,186.83,187.56,188.93,186.25,189.19,187.49,189.24
solar radiation - ssp2 - 2081-2100 - annual,189.47,188.53,189.17,189.35,187.98,187.33,189.91,189.77,193.59,187.44,190,188.3,189.78,188.04,189.06,190.28,187.76,191.1,188.94,191.03
solar radiation - ssp3 - 2021-2040 - annual,185.7,181.82,182.65,186.37,182.59,183.79,184.8,185.18,187.46,183.52,183.95,181.58,183.36,184.26,184,186.07,183.04,184.79,184.56,185.12
solar radiation - ssp3 - 2041-2060 - annual,184.79,180.73,181.56,185.29,181.69,182.9,183.97,184.31,186.49,182.57,183.03,180.49,182.3,183.46,183.24,185.15,182.16,183.75,183.62,184.16
solar radiation - ssp3 - 2061-2080 - annual,184.29,180.54,181.42,184.52,181.15,182.41,183.74,183.67,186.45,181.93,182.96,180.18,182.24,183.01,182.99,184.5,181.8,183.63,183.13,184.05
solar radiation - ssp3 - 2081-2100 - annual,183.85,180.82,181.67,183.69,181.03,181.94,183.77,183.32,186.71,181.43,183.24,180.44,182.51,182.68,183.07,184.04,181.64,183.85,182.81,184.23
solar radiation - ssp5 - 2021-2040 - annual,186.42,183.1,183.87,187,183.68,184.46,185.76,186.12,188.63,184.32,185.14,182.9,184.55,184.98,185,186.93,183.93,185.97,185.4,186.22
solar radiation - ssp5 - 2041-2060 - annual,187.22,185.05,185.73,187.27,185.23,185.18,187.24,187.34,190.42,185.15,186.92,184.88,186.38,185.86,186.45,187.94,185.16,187.75,186.43,187.92
solar radiation - ssp5 - 2061-2080 - annual,186.96,185.64,186.32,186.5,185.23,184.9,187.54,187.08,191.05,184.73,187.53,185.36,187.03,185.73,186.79,187.56,185.22,188.32,186.27,188.45
solar radiation - ssp5 - 2081-2100 - annual,186.76,186.45,187.11,185.73,185.45,184.64,188,186.99,191.86,184.44,188.29,186.11,187.85,185.64,187.22,187.33,185.42,189.07,186.25,189.14
solar radiation - historical - jun - sep,197.15,190.88,192.4,200.23,191.11,197.31,195.58,194.03,195.11,196.83,192.27,191.8,192.69,196.68,193.53,196.02,194.7,194.28,196.06,194.51
solar radiation - ssp1 - 2021-2040 - jun - sep,193.65,186.44,188.14,195.57,186.72,194.29,192.91,189.69,192.35,192.45,189.99,187.18,188.92,194.25,191.49,191.65,191.09,190.26,191.95,191.3
solar radiation - ssp1 - 2041-2060 - jun - sep,195.25,188.98,190.56,196.93,188.95,195.88,194.85,191.61,194.51,194.02,192.05,189.82,191.23,195.9,193.35,193.4,192.91,192.57,193.68,193.44
solar radiation - ssp1 - 2061-2080 - jun - sep,197.12,191.55,193.15,198.81,191.29,197.53,196.74,193.89,196.49,196.23,193.86,192.3,193.67,197.46,195.07,195.62,195.09,195.1,195.91,195.62
solar radiation - ssp1 - 2081-2100 - jun - sep,197.91,192.66,194.18,199.52,192.29,198.42,197.77,194.74,197.61,196.91,194.99,193.49,194.69,198.45,196.14,196.41,195.9,196.09,196.65,196.64
solar radiation - ssp2 - 2021-2040 - jun - sep,191.43,183.36,185.19,193.31,183.82,192.22,190.54,187,189.84,189.95,187.57,183.97,186.14,192.19,189.2,189.06,188.62,187.42,189.46,188.73
solar radiation - ssp2 - 2041-2060 - jun - sep,192.71,185.23,187.01,194.35,185.52,193.47,192.03,188.56,191.35,191.29,188.96,185.85,187.85,193.48,190.58,190.51,190.1,189.18,190.87,190.31
solar radiation - ssp2 - 2061-2080 - jun - sep,193.52,187.02,188.68,194.56,186.86,194.34,193.52,189.5,193.21,191.87,190.87,187.72,189.59,194.61,192.22,191.23,191.18,190.79,191.7,191.98
solar radiation - ssp2 - 2081-2100 - jun - sep,194.87,188.62,190.29,195.92,188.29,195.6,194.82,190.87,194.42,193.31,191.98,189.3,191.07,195.8,193.39,192.62,192.66,192.36,193.21,193.34
solar radiation - ssp3 - 2021-2040 - jun - sep,190.55,182.3,184.09,192.39,182.81,191.4,189.63,186,188.93,188.98,186.68,182.96,185.09,191.37,188.31,188.06,187.63,186.33,188.45,187.75
solar radiation - ssp3 - 2041-2060 - jun - sep,190.21,181.85,183.69,191.55,182.39,191.18,189.67,185.53,188.86,188.39,186.73,182.47,184.79,191.4,188.53,187.52,187.38,185.99,188.01,187.6
solar radiation - ssp3 - 2061-2080 - jun - sep,189.89,181.71,183.58,190.93,181.88,190.95,189.56,184.92,188.85,187.77,186.66,182.23,184.76,191.2,188.38,186.9,187.09,185.9,187.58,187.55
solar radiation - ssp3 - 2081-2100 - jun - sep,188.79,181.11,182.96,189.55,180.88,189.83,188.79,183.74,188.28,186.59,186.18,181.57,184.16,190.2,187.71,185.68,186.18,185.26,186.57,186.89
solar radiation - ssp5 - 2021-2040 - jun - sep,192.11,183.94,185.78,193.83,184.47,192.88,191.32,187.64,190.6,190.62,188.35,184.56,186.78,192.91,190.01,189.68,189.33,188.03,190.12,189.44
solar radiation - ssp5 - 2041-2060 - jun - sep,192.13,185.02,186.7,193.26,185.33,192.96,192.02,188.12,191.46,190.51,189.22,185.81,187.64,193.2,190.76,189.89,189.7,188.87,190.23,190.22
solar radiation - ssp5 - 2061-2080 - jun - sep,192.14,185.4,187.15,192.74,184.98,193.06,192.42,187.62,192,190.15,189.74,185.93,188.18,193.45,191.22,189.39,189.85,189.35,190.19,190.71
solar radiation - ssp5 - 2081-2100 - jun - sep,192.77,186.55,188.31,192.87,185.76,193.61,193.48,188.24,193.19,190.76,190.84,187.03,189.36,194.13,192.22,189.93,190.77,190.5,190.96,191.85
solar radiation - historical - mar - may,225.13,225.46,224.8,227.11,226.15,222.51,223.24,227.32,226.23,224.26,223.48,227.1,224.34,221.87,222.45,227.6,223.43,225.85,225.25,224.58
solar radiation - ssp1 - 2021-2040 - mar - may,221.43,220.72,220.09,223.78,222.23,218.78,219,223.74,221.45,220.81,218.81,222.43,219.55,218.02,218.21,224.1,219.52,221.19,221.53,220
solar radiation - ssp1 - 2041-2060 - mar - may,223.14,223.86,223.25,225.03,224.58,220.37,221.54,225.73,224.61,222.52,221.91,225.41,222.77,219.76,220.72,225.93,221.77,224.32,223.55,222.99
solar radiation - ssp1 - 2061-2080 - mar - may,225.99,227.7,227.1,227.3,227.77,223.15,225.03,228.67,228.49,225.31,225.8,229.12,226.66,222.71,224.23,228.74,225,228.13,226.57,226.73
solar radiation - ssp1 - 2081-2100 - mar - may,226.25,228.73,227.99,227.63,228.67,223.34,225.41,229.38,229.07,225.76,226.21,230.27,227.43,222.85,224.46,229.34,225.43,228.91,227.02,227.34
solar radiation - ssp2 - 2021-2040 - mar - may,217.83,214.37,213.94,220.62,216.9,215.44,214.25,219.11,215.75,216.87,213.13,215.97,213.55,214.46,213.46,219.83,215.08,215.27,217.31,214.51
solar radiation - ssp2 - 2041-2060 - mar - may,219.4,217.13,216.61,222.12,219.33,216.77,216.07,221.3,217.74,218.77,214.98,218.78,215.98,215.77,215.1,221.87,217.07,217.81,219.29,216.63
solar radiation - ssp2 - 2061-2080 - mar - may,220.82,220.1,219.54,223.11,221.62,218.02,218.27,223.19,220.56,220.32,217.8,221.69,218.9,217.15,217.29,223.56,219.04,220.66,221.07,219.29
solar radiation - ssp2 - 2081-2100 - mar - may,222.35,222.92,222.3,224.29,223.88,219.4,220.38,225.12,223.12,222,220.25,224.47,221.63,218.6,219.29,225.32,221.03,223.35,222.94,221.8
solar radiation - ssp3 - 2021-2040 - mar - may,217.82,214.18,213.81,220.5,216.74,215.4,214.24,219,215.64,216.79,213.08,215.72,213.44,214.45,213.5,219.73,215.07,215.18,217.25,214.43
solar radiation - ssp3 - 2041-2060 - mar - may,216.34,212.33,211.93,219.24,215.4,213.85,212.49,217.78,213.53,215.52,210.92,213.98,211.45,212.82,211.66,218.5,213.57,213.31,215.84,212.51
solar radiation - ssp3 - 2061-2080 - mar - may,215.39,211.66,211.35,217.98,214.32,212.91,211.89,216.64,213.19,214.45,210.62,213.11,210.98,211.97,211.11,217.36,212.77,212.76,214.94,212.02
solar radiation - ssp3 - 2081-2100 - mar - may,214.77,212.36,211.95,216.79,214.59,212.21,211.98,216.48,213.59,213.84,210.98,213.88,211.51,211.47,211.19,216.94,212.63,213.27,214.57,212.36
solar radiation - ssp5 - 2021-2040 - mar - may,217.59,214.94,214.43,220.29,217.24,215.11,214.3,219.25,216.07,216.75,213.47,216.61,213.98,214.17,213.52,219.84,215.07,215.69,217.25,214.79
