Variable,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Mongar,Paro,Pemagatshel,Punakha,Samdrup Jongkhar,Samtse,Sarpang,Tashi Yangtse,Tashigang,Thimphu,Trongsa,Tsirang,Wangdue Phodrang,Zhemgang
precipitation - ssp3 - 2061-2080 - dec - feb,18.02,65.19,51.7,9.37,39.72,23.75,39.13,24.97,56.79,35.11,52.6,72.76,52.21,28.11,38.34,18.13,32.77,53.24,29.82,49.37
precipitation - ssp3 - 2081-2100 - dec - feb,17.71,62.58,49.49,8.82,36.71,23.51,38.74,22.5,56.41,33.86,52.86,69.8,50.91,27.99,38.47,16.29,31.97,51.37,28.65,48.67
precipitation - ssp5 - 2021-2040 - dec - feb,18.07,65.79,52.18,9.61,40.3,23.53,38.43,25.32,55.79,35.6,51.52,73.58,52.28,27.68,37.53,18.52,33.07,53.64,30.32,49.02
precipitation - ssp5 - 2041-2060 - dec - feb,18.42,65.48,52.14,9.7,39.95,23.89,38.92,25.2,56.1,35.85,51.39,72.98,52.57,28.05,37.58,18.52,33.49,53.79,30.55,49.47
precipitation - ssp5 - 2061-2080 - dec - feb,17.67,63.71,50.36,9.07,38.12,23.41,38.41,23.63,56.14,34.44,52.26,71.21,51.28,27.77,37.87,17.13,32.13,52.04,29.08,48.66
precipitation - ssp5 - 2081-2100 - dec - feb,18.45,65.78,52.38,9.59,40,24.12,40.29,25.1,58.49,35.66,54.58,73.27,53.42,28.72,39.74,18.38,33.6,54.17,30.46,50.79
mean temperature - historical - annual,3.54,14.79,16.02,-0.79,7.43,7.2,15.57,5.91,19.58,11.45,17.86,18.33,18.95,8.49,11.18,3.4,10.56,17.6,7.57,17.4
mean temperature - ssp1 - 2021-2040 - annual,4.92,16,17.24,0.71,8.72,8.6,16.82,7.26,20.78,12.84,19.07,19.55,20.14,9.85,12.43,4.78,11.85,18.81,8.91,18.61
mean temperature - ssp1 - 2041-2060 - annual,5.34,16.42,17.66,1.12,9.12,9.03,17.24,7.66,21.21,13.23,19.5,19.97,20.57,10.29,12.86,5.18,12.26,19.23,9.32,19.03
mean temperature - ssp1 - 2061-2080 - annual,5.51,16.62,17.85,1.29,9.31,9.2,17.41,7.83,21.38,13.4,19.68,20.17,20.76,10.45,13.02,5.35,12.43,19.42,9.49,19.22
mean temperature - ssp1 - 2081-2100 - annual,5.44,16.55,17.79,1.21,9.22,9.13,17.34,7.74,21.32,13.31,19.61,20.1,20.69,10.38,12.95,5.26,12.36,19.35,9.41,19.15
mean temperature - ssp2 - 2021-2040 - annual,4.9,15.94,17.18,0.7,8.69,8.58,16.79,7.24,20.73,12.82,19.02,19.49,20.09,9.84,12.4,4.76,11.83,18.76,8.89,18.57
mean temperature - ssp2 - 2041-2060 - annual,5.68,16.67,17.92,1.49,9.41,9.37,17.51,7.97,21.43,13.58,19.72,20.21,20.82,10.6,13.11,5.51,12.57,19.49,9.65,19.29
mean temperature - ssp2 - 2061-2080 - annual,6.2,17.2,18.44,2.03,9.91,9.91,18.04,8.47,21.98,14.08,20.28,20.74,21.35,11.14,13.65,6.01,13.08,20.02,10.16,19.82
mean temperature - ssp2 - 2081-2100 - annual,6.71,17.68,18.92,2.55,10.4,10.42,18.52,8.96,22.45,14.58,20.75,21.23,21.82,11.65,14.13,6.51,13.57,20.49,10.65,20.29
mean temperature - ssp3 - 2021-2040 - annual,4.95,15.96,17.21,0.74,8.71,8.64,16.83,7.27,20.76,12.86,19.05,19.5,20.11,9.89,12.45,4.8,11.87,18.78,8.93,18.6
mean temperature - ssp3 - 2041-2060 - annual,5.87,16.79,18.04,1.72,9.57,9.58,17.69,8.15,21.59,13.77,19.9,20.34,20.95,10.81,13.31,5.7,12.74,19.62,9.83,19.44
mean temperature - ssp3 - 2061-2080 - annual,6.94,17.79,19.04,2.84,10.59,10.66,18.7,9.19,22.58,14.83,20.88,21.34,21.94,11.88,14.31,6.75,13.77,20.62,10.87,20.43
mean temperature - ssp3 - 2081-2100 - annual,8.17,18.92,20.16,4.17,11.79,11.9,19.81,10.42,23.65,16.09,21.95,22.49,23.03,13.08,15.42,8,14.94,21.73,12.08,21.53
mean temperature - ssp5 - 2021-2040 - annual,5.01,16,17.25,0.8,8.75,8.71,16.88,7.31,20.8,12.91,19.1,19.54,20.16,9.95,12.49,4.84,11.92,18.82,8.98,18.64
mean temperature - ssp5 - 2041-2060 - annual,6.18,17.12,18.37,2.03,9.87,9.88,17.99,8.45,21.9,14.07,20.2,20.66,21.27,11.12,13.61,6,13.04,19.94,10.13,19.75
mean temperature - ssp5 - 2061-2080 - annual,7.62,18.48,19.72,3.55,11.26,11.34,19.36,9.86,23.24,15.51,21.54,22.04,22.61,12.55,14.97,7.43,14.43,21.29,11.54,21.1
mean temperature - ssp5 - 2081-2100 - annual,9.32,20.07,21.31,5.35,12.91,13.05,20.95,11.54,24.81,17.22,23.1,23.65,24.19,14.22,16.56,9.14,16.06,22.88,13.22,22.68
mean temperature - historical - jun - sep,9.58,19.25,20.42,5.75,12.81,12.9,20.29,11.59,23.85,16.66,22.13,22.28,22.96,13.99,16.15,9.34,15.69,21.83,13.1,21.78
mean temperature - ssp1 - 2021-2040 - jun - sep,10.83,20.33,21.51,7.1,13.98,14.15,21.43,12.81,24.93,17.92,23.22,23.37,24.03,15.22,17.29,10.59,16.88,22.92,14.33,22.88
mean temperature - ssp1 - 2041-2060 - jun - sep,11.22,20.71,21.89,7.47,14.35,14.55,21.82,13.17,25.31,18.29,23.61,23.75,24.41,15.62,17.68,10.95,17.26,23.3,14.7,23.26
mean temperature - ssp1 - 2061-2080 - jun - sep,11.44,20.94,22.12,7.71,14.58,14.76,22.02,13.4,25.51,18.52,23.8,23.99,24.63,15.82,17.87,11.18,17.48,23.52,14.93,23.47
mean temperature - ssp1 - 2081-2100 - jun - sep,11.41,20.9,22.08,7.67,14.52,14.73,21.98,13.34,25.47,18.48,23.76,23.93,24.59,15.78,17.83,11.13,17.45,23.49,14.9,23.43
mean temperature - ssp2 - 2021-2040 - jun - sep,10.85,20.31,21.5,7.1,13.98,14.17,21.44,12.81,24.93,17.93,23.22,23.35,24.02,15.24,17.3,10.59,16.89,22.91,14.33,22.88
mean temperature - ssp2 - 2041-2060 - jun - sep,11.53,20.96,22.15,7.81,14.61,14.84,22.07,13.46,25.54,18.62,23.83,23.98,24.67,15.89,17.92,11.25,17.56,23.57,15.02,23.51
mean temperature - ssp2 - 2061-2080 - jun - sep,12.08,21.48,22.67,8.37,15.14,15.39,22.61,13.99,26.07,19.16,24.36,24.51,25.18,16.43,18.45,11.79,18.09,24.08,15.56,24.04
mean temperature - ssp2 - 2081-2100 - jun - sep,12.56,21.93,23.12,8.9,15.63,15.86,23.05,14.5,26.49,19.67,24.78,24.98,25.62,16.89,18.89,12.3,18.56,24.52,16.04,24.47
mean temperature - ssp3 - 2021-2040 - jun - sep,10.81,20.27,21.46,7.04,13.93,14.14,21.41,12.77,24.9,17.88,23.2,23.3,23.99,15.21,17.28,10.54,16.85,22.87,14.29,22.85
mean temperature - ssp3 - 2041-2060 - jun - sep,11.68,21.06,22.26,7.94,14.73,15,22.23,13.59,25.7,18.75,24,24.09,24.79,16.06,18.1,11.38,17.7,23.68,15.15,23.65
mean temperature - ssp3 - 2061-2080 - jun - sep,12.69,21.98,23.17,9.01,15.7,16,23.16,14.58,26.57,19.77,24.87,25.01,25.68,17.03,19,12.4,18.67,24.59,16.15,24.55
mean temperature - ssp3 - 2081-2100 - jun - sep,13.75,22.93,24.1,10.18,16.78,17.07,24.12,15.69,27.48,20.87,25.77,26.01,26.59,18.07,19.96,13.52,19.68,25.52,17.19,25.48
mean temperature - ssp5 - 2021-2040 - jun - sep,10.88,20.32,21.51,7.13,13.98,14.21,21.47,12.82,24.96,17.95,23.26,23.35,24.04,15.27,17.34,10.61,16.92,22.93,14.35,22.91
mean temperature - ssp5 - 2041-2060 - jun - sep,11.99,21.33,22.52,8.29,15.01,15.31,22.5,13.88,25.95,19.06,24.24,24.36,25.04,16.35,18.35,11.68,17.98,23.94,15.45,23.91
mean temperature - ssp5 - 2061-2080 - jun - sep,13.32,22.56,23.75,9.7,16.33,16.64,23.74,15.23,27.14,20.42,25.43,25.62,26.25,17.65,19.58,13.05,19.27,25.16,16.77,25.13
mean temperature - ssp5 - 2081-2100 - jun - sep,14.76,23.92,25.1,11.22,17.77,18.08,25.1,16.69,28.47,21.88,26.75,27,27.59,19.06,20.94,14.53,20.67,26.51,18.2,26.47
mean temperature - historical - mar - may,3.15,14.85,16.23,-1.31,7.14,6.93,15.78,5.7,19.89,11.32,18.08,18.69,19.31,8.13,11.07,3.13,10.51,17.98,7.37,17.7
mean temperature - ssp1 - 2021-2040 - mar - may,4.39,15.96,17.35,0.11,8.34,8.17,16.89,6.95,20.97,12.58,19.15,19.83,20.4,9.32,12.15,4.41,11.67,19.07,8.57,18.79
mean temperature - ssp1 - 2041-2060 - mar - may,4.82,16.41,17.79,0.51,8.77,8.62,17.32,7.38,21.41,12.99,19.6,20.26,20.85,9.77,12.59,4.83,12.1,19.51,9,19.23
mean temperature - ssp1 - 2061-2080 - mar - may,4.98,16.64,18.02,0.64,8.95,8.78,17.53,7.53,21.65,13.12,19.83,20.49,21.08,9.94,12.8,4.97,12.27,19.74,9.15,19.46
mean temperature - ssp1 - 2081-2100 - mar - may,4.94,16.61,17.98,0.62,8.9,8.74,17.46,7.46,21.58,13.06,19.75,20.46,21.04,9.88,12.72,4.91,12.22,19.7,9.11,19.4
mean temperature - ssp2 - 2021-2040 - mar - may,4.43,15.87,17.27,0.18,8.32,8.21,16.87,6.98,20.9,12.63,19.08,19.72,20.33,9.35,12.13,4.46,11.68,19.01,8.6,18.74
mean temperature - ssp2 - 2041-2060 - mar - may,5.15,16.62,18.01,0.89,9.04,8.95,17.57,7.68,21.6,13.32,19.76,20.48,21.06,10.08,12.82,5.15,12.39,19.74,9.31,19.45
mean temperature - ssp2 - 2061-2080 - mar - may,5.65,17.18,18.57,1.37,9.54,9.47,18.11,8.14,22.17,13.77,20.35,21.03,21.62,10.61,13.37,5.62,12.88,20.29,9.79,20
